,year,county_name,commodity_desc,value,percent
0,1919.0,DICKEY,CORN,31000.0,0.0933734939759036
1,1919.0,DICKEY,NOT CORN,301000.0,0.9066265060240964
2,1919.0,LA MOURE,CORN,18000.0,0.046997389033942565
3,1919.0,LA MOURE,NOT CORN,365000.0,0.9530026109660574
4,1919.0,LOGAN,CORN,2000.0,0.009523809523809523
5,1919.0,LOGAN,NOT CORN,208000.0,0.9904761904761904
6,1919.0,MCINTOSH,CORN,5000.0,0.02066115702479339
7,1919.0,MCINTOSH,NOT CORN,237000.0,0.9793388429752066
8,1920.0,DICKEY,CORN,47000.0,0.1407185628742515
9,1920.0,DICKEY,NOT CORN,287000.0,0.8592814371257484
10,1920.0,LA MOURE,CORN,24000.0,0.06266318537859007
11,1920.0,LA MOURE,NOT CORN,359000.0,0.93733681462141
12,1920.0,LOGAN,CORN,4000.0,0.018018018018018014
13,1920.0,LOGAN,NOT CORN,218000.0,0.981981981981982
14,1920.0,MCINTOSH,CORN,6000.0,0.02666666666666667
15,1920.0,MCINTOSH,NOT CORN,219000.0,0.9733333333333334
16,1921.0,DICKEY,CORN,51000.0,0.1457142857142857
17,1921.0,DICKEY,NOT CORN,299000.0,0.8542857142857143
18,1921.0,LA MOURE,CORN,26000.0,0.060889929742388764
19,1921.0,LA MOURE,NOT CORN,401000.0,0.9391100702576112
20,1921.0,LOGAN,CORN,7000.0,0.02991452991452992
21,1921.0,LOGAN,NOT CORN,227000.0,0.97008547008547
22,1921.0,MCINTOSH,CORN,6000.0,0.03125
23,1921.0,MCINTOSH,NOT CORN,186000.0,0.96875
24,1922.0,DICKEY,CORN,55000.0,0.16224188790560473
25,1922.0,DICKEY,NOT CORN,284000.0,0.8377581120943953
26,1922.0,LA MOURE,CORN,34000.0,0.08292682926829269
27,1922.0,LA MOURE,NOT CORN,376000.0,0.9170731707317074
28,1922.0,LOGAN,CORN,10000.0,0.04
29,1922.0,LOGAN,NOT CORN,240000.0,0.96
30,1922.0,MCINTOSH,CORN,7000.0,0.032710280373831765
31,1922.0,MCINTOSH,NOT CORN,207000.0,0.9672897196261684
32,1923.0,DICKEY,CORN,59000.0,0.18849840255591052
33,1923.0,DICKEY,NOT CORN,254000.0,0.8115015974440895
34,1923.0,LA MOURE,CORN,37000.0,0.09343434343434344
35,1923.0,LA MOURE,NOT CORN,359000.0,0.9065656565656566
36,1923.0,LOGAN,CORN,10000.0,0.04065040650406504
37,1923.0,LOGAN,NOT CORN,236000.0,0.9593495934959351
