year,county_name,commodity_desc,value
1919.0,DICKEY,CORN,31000.0
1919.0,DICKEY,NOT CORN,301000.0
1919.0,LA MOURE,CORN,18000.0
1919.0,LA MOURE,NOT CORN,365000.0
1919.0,LOGAN,CORN,2000.0
1919.0,LOGAN,NOT CORN,208000.0
1919.0,MCINTOSH,CORN,5000.0
1919.0,MCINTOSH,NOT CORN,237000.0
1920.0,DICKEY,CORN,47000.0
1920.0,DICKEY,NOT CORN,287000.0
1920.0,LA MOURE,CORN,24000.0
1920.0,LA MOURE,NOT CORN,359000.0
1920.0,LOGAN,CORN,4000.0
1920.0,LOGAN,NOT CORN,218000.0
1920.0,MCINTOSH,CORN,6000.0
1920.0,MCINTOSH,NOT CORN,219000.0
1921.0,DICKEY,CORN,51000.0
1921.0,DICKEY,NOT CORN,299000.0
1921.0,LA MOURE,CORN,26000.0
1921.0,LA MOURE,NOT CORN,401000.0
1921.0,LOGAN,CORN,7000.0
1921.0,LOGAN,NOT CORN,227000.0
1921.0,MCINTOSH,CORN,6000.0
1921.0,MCINTOSH,NOT CORN,186000.0
1922.0,DICKEY,CORN,55000.0
1922.0,DICKEY,NOT CORN,284000.0
1922.0,LA MOURE,CORN,34000.0
1922.0,LA MOURE,NOT CORN,376000.0
1922.0,LOGAN,CORN,10000.0
1922.0,LOGAN,NOT CORN,240000.0
1922.0,MCINTOSH,CORN,7000.0
1922.0,MCINTOSH,NOT CORN,207000.0
1923.0,DICKEY,CORN,59000.0
1923.0,DICKEY,NOT CORN,254000.0
1923.0,LA MOURE,CORN,37000.0
1923.0,LA MOURE,NOT CORN,359000.0
1923.0,LOGAN,CORN,10000.0
1923.0,LOGAN,NOT CORN,236000.0
1923.0,MCINTOSH,CORN,9000.0
1923.0,MCINTOSH,NOT CORN,192000.0
1924.0,DICKEY,CORN,66000.0
1924.0,DICKEY,NOT CORN,273000.0
1924.0,LA MOURE,CORN,42000.0
1924.0,LA MOURE,NOT CORN,375000.0
1924.0,LOGAN,CORN,14000.0
1924.0,LOGAN,NOT CORN,230000.0
1924.0,MCINTOSH,CORN,13000.0
1924.0,MCINTOSH,NOT CORN,265000.0
1925.0,DICKEY,CORN,54000.0
1925.0,DICKEY,NOT CORN,290000.0
1925.0,LA MOURE,CORN,30000.0
1925.0,LA MOURE,NOT CORN,387000.0
1925.0,LOGAN,CORN,11000.0
1925.0,LOGAN,NOT CORN,270000.0
1925.0,MCINTOSH,CORN,9000.0
1925.0,MCINTOSH,NOT CORN,270000.0
1926.0,DICKEY,CORN,50000.0
1926.0,DICKEY,NOT CORN,223000.0
1926.0,LA MOURE,CORN,27000.0
1926.0,LA MOURE,NOT CORN,287000.0
1926.0,LOGAN,CORN,11000.0
1926.0,LOGAN,NOT CORN,205000.0
1926.0,MCINTOSH,CORN,8000.0
1926.0,MCINTOSH,NOT CORN,249000.0
1927.0,DICKEY,CORN,50000.0
1927.0,DICKEY,NOT CORN,289000.0
1927.0,LA MOURE,CORN,28000.0
1927.0,LA MOURE,NOT CORN,363000.0
1927.0,LOGAN,CORN,11000.0
1927.0,LOGAN,NOT CORN,257000.0
1927.0,MCINTOSH,CORN,11000.0
1927.0,MCINTOSH,NOT CORN,277000.0
1928.0,DICKEY,CORN,51000.0
1928.0,DICKEY,NOT CORN,284000.0
1928.0,LA MOURE,CORN,31000.0
1928.0,LA MOURE,NOT CORN,372000.0
1928.0,LOGAN,CORN,9000.0
1928.0,LOGAN,NOT CORN,280000.0
1928.0,MCINTOSH,CORN,9000.0
1928.0,MCINTOSH,NOT CORN,279000.0
1929.0,DICKEY,CORN,54000.0
1929.0,DICKEY,NOT CORN,373000.0
1929.0,LA MOURE,CORN,36000.0
1929.0,LA MOURE,NOT CORN,503000.0
1929.0,LOGAN,CORN,8000.0
1929.0,LOGAN,NOT CORN,436000.0
1929.0,MCINTOSH,CORN,8000.0
1929.0,MCINTOSH,NOT CORN,477000.0
1930.0,DICKEY,CORN,57000.0
1930.0,DICKEY,NOT CORN,381000.0
1930.0,LA MOURE,CORN,36000.0
1930.0,LA MOURE,NOT CORN,552000.0
1930.0,LOGAN,CORN,7000.0
1930.0,LOGAN,NOT CORN,430000.0
1930.0,MCINTOSH,CORN,9000.0
1930.0,MCINTOSH,NOT CORN,458000.0
1931.0,DICKEY,CORN,64000.0
1931.0,DICKEY,NOT CORN,405000.0
1931.0,LA MOURE,CORN,46000.0
1931.0,LA MOURE,NOT CORN,592000.0
1931.0,LOGAN,CORN,7000.0
1931.0,LOGAN,NOT CORN,467000.0
1931.0,MCINTOSH,CORN,13000.0
1931.0,MCINTOSH,NOT CORN,471000.0
1932.0,DICKEY,CORN,60000.0
1932.0,DICKEY,NOT CORN,384000.0
1932.0,LA MOURE,CORN,35000.0
1932.0,LA MOURE,NOT CORN,540000.0
1932.0,LOGAN,CORN,9000.0
1932.0,LOGAN,NOT CORN,479000.0
1932.0,MCINTOSH,CORN,10000.0
1932.0,MCINTOSH,NOT CORN,468000.0
1933.0,DICKEY,CORN,69000.0
1933.0,DICKEY,NOT CORN,232000.0
1933.0,LA MOURE,CORN,52000.0
1933.0,LA MOURE,NOT CORN,466000.0
1933.0,LOGAN,CORN,9000.0
1933.0,LOGAN,NOT CORN,393000.0
1933.0,MCINTOSH,CORN,12000.0
1933.0,MCINTOSH,NOT CORN,342000.0
1934.0,DICKEY,CORN,43000.0
1934.0,DICKEY,NOT CORN,19000.0
1934.0,LA MOURE,CORN,52000.0
1934.0,LA MOURE,NOT CORN,174000.0
1934.0,LOGAN,CORN,12000.0
1934.0,LOGAN,NOT CORN,23000.0
1934.0,MCINTOSH,CORN,7000.0
1934.0,MCINTOSH,NOT CORN,4000.0
1935.0,DICKEY,CORN,48000.0
1935.0,DICKEY,NOT CORN,324000.0
1935.0,LA MOURE,CORN,37000.0
1935.0,LA MOURE,NOT CORN,420000.0
1935.0,LOGAN,CORN,12000.0
1935.0,LOGAN,NOT CORN,284000.0
1935.0,MCINTOSH,CORN,15000.0
1935.0,MCINTOSH,NOT CORN,290000.0
1936.0,DICKEY,CORN,32000.0
1936.0,DICKEY,NOT CORN,50000.0
1936.0,LA MOURE,CORN,26000.0
1936.0,LA MOURE,NOT CORN,43000.0
1936.0,LOGAN,CORN,1000.0
1936.0,LOGAN,NOT CORN,6000.0
1936.0,MCINTOSH,CORN,1000.0
1936.0,MCINTOSH,NOT CORN,9000.0
1937.0,DICKEY,CORN,35000.0
1937.0,DICKEY,NOT CORN,228000.0
1937.0,LA MOURE,CORN,24000.0
1937.0,LA MOURE,NOT CORN,353000.0
1937.0,LOGAN,CORN,5000.0
1937.0,LOGAN,NOT CORN,192000.0
1937.0,MCINTOSH,CORN,4000.0
1937.0,MCINTOSH,NOT CORN,167000.0
1938.0,DICKEY,CORN,39000.0
1938.0,DICKEY,NOT CORN,112000.0
1938.0,LA MOURE,CORN,30000.0
1938.0,LA MOURE,NOT CORN,228000.0
1938.0,LOGAN,CORN,8000.0
1938.0,LOGAN,NOT CORN,231000.0
1938.0,MCINTOSH,CORN,10000.0
1938.0,MCINTOSH,NOT CORN,61000.0
1939.0,DICKEY,CORN,43000.0
1939.0,DICKEY,NOT CORN,226000.0
1939.0,LA MOURE,CORN,33000.0
1939.0,LA MOURE,NOT CORN,342000.0
1939.0,LOGAN,CORN,8000.0
1939.0,LOGAN,NOT CORN,249000.0
1939.0,MCINTOSH,CORN,12000.0
1939.0,MCINTOSH,NOT CORN,233000.0
1940.0,DICKEY,CORN,45400.0
1940.0,DICKEY,NOT CORN,274000.0
1940.0,LA MOURE,CORN,29000.0
1940.0,LA MOURE,NOT CORN,388000.0
1940.0,LOGAN,CORN,6800.0
1940.0,LOGAN,NOT CORN,308000.0
1940.0,MCINTOSH,CORN,13100.0
1940.0,MCINTOSH,NOT CORN,320000.0
1941.0,DICKEY,CORN,49800.0
1941.0,DICKEY,NOT CORN,300000.0
1941.0,LA MOURE,CORN,31300.0
1941.0,LA MOURE,NOT CORN,429000.0
1941.0,LOGAN,CORN,6800.0
1941.0,LOGAN,NOT CORN,314000.0
1941.0,MCINTOSH,CORN,12100.0
1941.0,MCINTOSH,NOT CORN,340000.0
1942.0,DICKEY,CORN,49600.0
1942.0,DICKEY,NOT CORN,310100.0
1942.0,LA MOURE,CORN,29100.0
1942.0,LA MOURE,NOT CORN,421300.0
1942.0,LOGAN,CORN,5700.0
1942.0,LOGAN,NOT CORN,315200.0
1942.0,MCINTOSH,CORN,10400.0
1942.0,MCINTOSH,NOT CORN,351500.0
1943.0,DICKEY,CORN,43000.0
1943.0,DICKEY,NOT CORN,293700.0
1943.0,LA MOURE,CORN,26500.0
1943.0,LA MOURE,NOT CORN,501600.0
1943.0,LOGAN,CORN,4800.0
1943.0,LOGAN,NOT CORN,364700.0
1943.0,MCINTOSH,CORN,10200.0
1943.0,MCINTOSH,NOT CORN,407600.0
1944.0,DICKEY,CORN,57200.0
1944.0,DICKEY,NOT CORN,295600.0
1944.0,LA MOURE,CORN,31600.0
1944.0,LA MOURE,NOT CORN,523900.0
1944.0,LOGAN,CORN,5000.0
1944.0,LOGAN,NOT CORN,403100.0
1944.0,MCINTOSH,CORN,9700.0
1944.0,MCINTOSH,NOT CORN,438000.0
1945.0,DICKEY,CORN,53000.0
1945.0,DICKEY,NOT CORN,324500.0
1945.0,LA MOURE,CORN,35000.0
1945.0,LA MOURE,NOT CORN,531100.0
1945.0,LOGAN,CORN,4500.0
1945.0,LOGAN,NOT CORN,395200.0
1945.0,MCINTOSH,CORN,8500.0
1945.0,MCINTOSH,NOT CORN,461500.0
1946.0,DICKEY,CORN,45000.0
1946.0,DICKEY,NOT CORN,344000.0
1946.0,LA MOURE,CORN,34000.0
1946.0,LA MOURE,NOT CORN,540000.0
1946.0,LOGAN,CORN,3800.0
1946.0,LOGAN,NOT CORN,399200.0
1946.0,MCINTOSH,CORN,6500.0
1946.0,MCINTOSH,NOT CORN,452200.0
1947.0,DICKEY,CORN,43500.0
1947.0,DICKEY,NOT CORN,380000.0
1947.0,LA MOURE,CORN,35000.0
1947.0,LA MOURE,NOT CORN,549000.0
1947.0,LOGAN,CORN,4300.0
1947.0,LOGAN,NOT CORN,415500.0
1947.0,MCINTOSH,CORN,6700.0
1947.0,MCINTOSH,NOT CORN,467700.0
1948.0,DICKEY,CORN,39000.0
1948.0,DICKEY,NOT CORN,547400.0
1948.0,LA MOURE,CORN,31500.0
1948.0,LA MOURE,NOT CORN,679700.0
1948.0,LOGAN,CORN,5000.0
1948.0,LOGAN,NOT CORN,570000.0
1948.0,MCINTOSH,CORN,6000.0
1948.0,MCINTOSH,NOT CORN,580500.0
1949.0,DICKEY,CORN,46700.0
1949.0,DICKEY,NOT CORN,943000.0
1949.0,LA MOURE,CORN,38100.0
1949.0,LA MOURE,NOT CORN,1422000.0
1949.0,LOGAN,CORN,8500.0
1949.0,LOGAN,NOT CORN,1280000.0
1949.0,MCINTOSH,CORN,10000.0
1949.0,MCINTOSH,NOT CORN,1320900.0
1950.0,DICKEY,CORN,50500.0
1950.0,DICKEY,NOT CORN,870000.0
1950.0,LA MOURE,CORN,40500.0
1950.0,LA MOURE,NOT CORN,1203000.0
1950.0,LOGAN,CORN,14500.0
1950.0,LOGAN,NOT CORN,1033400.0
1950.0,MCINTOSH,CORN,18000.0
1950.0,MCINTOSH,NOT CORN,1125000.0
1951.0,DICKEY,CORN,46500.0
1951.0,DICKEY,NOT CORN,989000.0
1951.0,LA MOURE,CORN,39500.0
1951.0,LA MOURE,NOT CORN,1434500.0
1951.0,LOGAN,CORN,13500.0
1951.0,LOGAN,NOT CORN,1152000.0
1951.0,MCINTOSH,CORN,18500.0
1951.0,MCINTOSH,NOT CORN,1231500.0
1952.0,DICKEY,CORN,36000.0
1952.0,DICKEY,NOT CORN,951000.0
1952.0,LA MOURE,CORN,30000.0
1952.0,LA MOURE,NOT CORN,1284000.0
1952.0,LOGAN,CORN,9500.0
1952.0,LOGAN,NOT CORN,1088000.0
1952.0,MCINTOSH,CORN,13000.0
1952.0,MCINTOSH,NOT CORN,1170200.0
1953.0,DICKEY,CORN,36500.0
1953.0,DICKEY,NOT CORN,939000.0
1953.0,LA MOURE,CORN,36000.0
